RNA11_HP_Hyb1_total	RNA12_HP_Hyb2_total	RNA22_HP_Hyb1_total	RNA23_HP_Hyb2_total	gene	mean	bins
1.73685854827574	1.56339306526346	1.25959108720893	1.32575057450664	TMEM176B	1.47139831881369	1
1.18037193236184	1.96864713065855	0.754695341588191	2.10464933484761	LRRC32	1.50209093486405	1
1.60742551000332	1.45678353569434	1.42629841111902	1.55451167292799	HSD17B6	1.51125478243617	1
2.11415373382627	1.68949097053381	1.33416183717508	0.940804696764944	LMO2	1.51965280957503	1
0.915102499812507	2.49646043868722	0.916256240088468	1.80951658429193	GNAO1	1.53433394072003	1
0.878410565727024	2.18769210571509	0.966985093087646	2.15827668652323	RFTN1	1.54784111276325	1
0.880140764861135	2.5548151771798	0.595736269412951	2.17047829894377	NCF2	1.55029262759941	1
3.13454533401719	0.711377964723908	1.84838112603686	0.595386788495882	TBXAS1	1.57242280331846	1
1.44818359190003	1.8015826401097	1.48834078600117	1.74921058155578	CHADL	1.62182939989167	1
1.93538460981852	1.45565231381204	1.69412711787922	1.43541984185832	XYLB	1.63014597084202	1
0.653992479226975	2.74690897539056	0.369171908084224	2.7896795294197	CXCL12	1.63993822303036	1
1.64618920835138	1.89529891950237	1.16399065735001	1.90897777196565	GREM2	1.65361413929235	1
2.66235309665211	0.907917211108909	2.35905119393042	0.773082583598413	ARG1	1.67560102132246	1
1.75656330081648	1.41198571997477	1.73247845245176	1.81522512462639	ANGPTL8	1.67906314946735	1
1.04776371661719	2.34759050827345	0.922301997223385	2.44383487102256	CYP2J2	1.69037277328415	1
1.85772100275915	1.23043424606948	2.44622820559886	1.37265857788278	HAL	1.72676050807757	1
2.0524938696483	2.29147894841978	1.58772659973661	1.40233952355724	MT1X	1.83350973534048	1
2.29796058824281	1.36985016312011	2.27501433589345	1.42601002385674	ZAP70	1.84220877777828	1
0.9003911112083	2.39370261964856	0.963137622354958	3.25132464454871	SGMS2	1.87713899944013	1
2.08611908299701	2.25296975007931	1.33380361797136	1.83981794871242	RAC2	1.87817759994002	1
1.27719375552301	1.98386872942633	1.95449335950689	2.33016405208922	FAM189A1	1.88642997413636	1
1.5184216904808	2.30601860118411	1.1970057072472	2.74407292008474	GDF7	1.94137972974921	1
1.91891596168833	2.12092422738465	2.11526445614385	1.62245428470043	NFASC	1.94438973247931	1
1.76718058257034	2.62487438340446	1.15899498929271	2.23763266191834	CXCL2	1.94717065429646	1
1.54894028809259	1.72929338060904	2.2046840037104	2.34764695266284	KLF9	1.95764115626872	1
2.18549991905346	1.8416182527152	1.93554477138069	2.12571963193713	ITPR2	2.02209564377162	1
2.23133205448205	2.0344313387413	1.7260686173709	2.12534076354089	TXK	2.02929319353379	1
1.51871777516629	2.02109782412608	2.18516317115225	2.45402807425027	SFMBT2	2.04475171117372	1
2.03562578142181	1.90637556820145	1.90337307462445	2.39510430908198	PPARGC1A	2.06011968333242	1
1.41628249205665	2.52158096357338	1.53525229070645	2.85363157978319	SERPINB8	2.08168683152992	1
0.968914359055815	2.82980907409761	1.30415284297326	3.38611992931103	PRRG4	2.12224905135943	1
2.71345855457145	1.60476536642634	2.29757842158062	1.9520599146619	MAK	2.14196556431008	1
2.24184977716274	1.90654375519703	2.28462619709831	2.19767727512101	PARP12	2.15767425114477	1
1.48506750282989	2.60829107752182	1.68115377615004	2.87536545526322	NOS3	2.16246945294124	1
