RNA15_PP_Hyb1_total	RNA16_PP_Hyb2_total	RNA24_PP_Hyb1_total	RNA25_PP_Hyb2_total	gene	mean	bins
0.595015770709101	0.39225047599627	0.601907492819169	0.460193020434041	CD14	0.512341689989645	1
0.210305831454518	0.801026994351739	0.399481602421248	0.652621246106377	LAPTM5	0.51585891858347	1
0.566024932936065	0.296027003137336	0.823849369742991	0.460438885858528	ESR1	0.53658504791873	1
0.363735703668975	0.751467199686991	0.269062445252981	0.799997993328375	SLC6A17	0.546065835484331	1
0.573082269441267	0.502206806302509	0.602908746486047	0.539132791409184	NPAS2	0.554332653409752	1
0.527166617512658	0.672862675255461	0.339252068517737	0.701698363813577	TLR3	0.560244931274858	1
0.440422488604634	0.539199898049703	0.405426518323974	0.902034846506238	SLC28A3	0.571770937871137	1
0.809948194665385	1.15153823741436	0.0343589729188081	0.321070664450921	MGP	0.579229017362369	1
0.695464387562693	0.333673325065212	0.86513890320981	0.461964120742492	FLI1	0.589060184145052	1
0.420540601638059	0.538261604596432	0.402207216691735	1.02503544203453	P2RX1	0.596511216240189	1
0.270218956416825	0.945209510808384	0.761471505756902	0.560626365846633	TMEM204	0.634381584707186	1
0.771569552046394	0.483042382223534	0.737933128939014	0.597495498446191	PLB1	0.647510140413783	1
0.384867428068766	0.804720479235729	0.545930061479878	0.888896851154905	PKHD1	0.65610370498482	1
0.376610442823449	0.708081254610753	0.495264253720537	1.23214146476015	FXYD2	0.703024353978722	1
0.58417403730308	0.741357421846262	0.683905166378139	0.851578269437697	STAB1	0.715253723741294	1
1.05126095890856	0.395364142164421	1.07525307188698	0.368445058687216	ABI3BP	0.722580807911794	1
1.16111839897694	0.526493553055753	0.424149179660486	0.792700406160043	SFRP4	0.726115384463305	1
1.02725260863517	0.566630610213281	0.593800388007178	0.718824895531811	C7	0.72662712559686	1
0.506481013919011	0.918251583430701	0.469511696313982	1.12854099154246	ABCC8	0.755696321301539	1
0.784682492866894	0.715392634397802	0.548884212132576	0.988517514553904	C12orf60	0.759369213487794	1
1.1400689718586	0.34595815876158	0.973875593083778	0.598715287604838	PECAM1	0.764654502827199	1
0.467153333288731	1.13431970845495	0.348122219628857	1.24381741406973	IRAK3	0.798353168860567	1
