RNA17_CM_Hyb1_total	RNA19_CM_Hyb2_total	RNA3_CM_Hyb1_total	RNA4_CM_Hyb2_total	gene	mean	bins
1.2303307133891	0.844155241675117	0.877223658649945	0.564351294667759	C9orf147	0.87901522709548	1
0.847808645510598	0.928338002448785	1.26904533095894	0.527536190679667	BANK1	0.893182042399498	1
0.652445918571583	1.00684006366247	0.711471348974519	1.22057743717105	APOL3	0.897833692094905	1
1.22338539862921	0.845411366656917	1.15897651630052	0.521929525851187	PLIN1	0.937425701859459	1
1.18845781351368	0.66253312342688	1.08190780896043	0.856330748793232	CD8A	0.947307373673556	1
0.453382777296636	1.65383990369522	0.438345026541689	1.27024411772934	ART4	0.953952956315721	1
1.01406936755687	0.709416503363847	0.994644025183282	1.13474230247248	RASGEF1C	0.96321804964412	1
1.15130114594075	0.847079948944737	0.992958581877783	1.041632754204	EFCAB6	1.00824310774182	1
1.27902761274966	0.900902978703199	0.974406412725971	0.947274228413187	PPP5D1	1.025402808148	1
1.12312292751577	0.914563567277959	1.15007935070883	0.982267391992609	CCDC30	1.04250830937379	1
1.3631036103151	0.630538227575886	1.59129360526792	0.619299270343742	RYR3	1.05105867837566	1
0.87394070816643	0.786067900640206	0.991902448487628	1.58823097171916	TYROBP	1.06003550725336	1
0.670839727747928	1.97106836538889	0.473752248961706	1.17341383329695	RNASE6	1.07226854384887	1
1.37492904598697	0.66590621346264	1.43158136003185	0.868934663601875	HAVCR2	1.08533782077083	1
1.47541037190684	0.774118985755338	1.30243289291101	0.87979977077521	NKG7	1.1079405053371	1
1.8402667287733	0.32185066173739	1.7869647397185	0.585262252715037	SMCO1	1.13358609573606	1
0.776419144815429	1.58770606325981	0.702965714000843	1.48788453967599	PIK3AP1	1.13874386543802	1
1.09328864716322	1.06867530396961	1.28240805177876	1.11930793038976	NAPEPLD	1.14091998332534	1
1.03887840407202	1.22642818672133	1.37562006235211	0.929238060646753	HIGD1B	1.14254117844805	1
1.39676514943956	0.628161749674596	1.717404077844	0.872565000266633	LRRC10B	1.1537239943062	1
1.15027055800751	1.2741072358665	1.29747159379862	0.914554840726827	CCDC192	1.15910105709986	1
0.519347574023656	2.07512774158247	0.687688702893963	1.38170001044482	NRAP	1.16596600723623	1
1.96845121210719	0.471105347994748	1.73766950236732	0.521690765775318	ART3	1.17472920706114	1
0.892255704632888	1.62475286083273	0.926644028096592	1.29363529060914	HLA-F	1.18432197104284	1
1.14351165284781	1.31047873213073	1.28837194784736	1.08862459899668	RPS6KL1	1.20774673295565	1
0.875622381481506	1.39308591238012	1.19684778685062	1.52712230936254	FBXL13	1.2481695975187	1
1.18573556066859	1.10601293136423	1.39562617146136	1.51887868125106	DPT	1.30156333618631	1
1.17113650180786	2.04824144347233	0.886141857452134	1.3523771080446	SLC16A6	1.36447422769423	1
0.983820556419203	1.70343167782088	1.21586806553682	1.6817603205913	GNGT1	1.39622015509205	1
2.35707363838023	0.566825632024236	2.34082095605797	0.58564295235904	C15orf56	1.46259079470537	1
0.920275799891972	1.47154506889714	1.43134048283438	2.09054589495348	AZGP1	1.47842681164424	1
1.15098505211435	1.74124315824377	1.32085626180108	1.71585547366587	CCDC39	1.48223498645627	1
2.20395970392337	0.653603024054958	2.53299654563329	0.579873984282741	NFASC	1.49260831447359	1
0.866615403396813	2.30379389995454	1.73402991533228	1.33211859850539	CIDEC	1.55913945429726	1
