RNA26_RPE_Hyb1_total	RNA27_RPE_Hyb1_total	RNA28_RPE_Hyb2_total	RNA29_RPE_Hyb2_total	gene	mean	bins
0.0939145623291336	0.114445673284107	0.112906713667887	0.135562733907344	KCNMB1	0.114207420797118	1
0.221843412279183	0.130427993878674	0.0701858829762475	0.0361154919169367	MYO18B	0.11464319526276	1
0.115535830179955	0.0670446046433608	0.113388087049371	0.170175875437208	ITGB2	0.116536099327474	1
0.104108043749982	0.0528615001486737	0.0447005721959441	0.268351259958261	KCNV2	0.117505344013215	1
0.112362398061179	0.190175664558658	0.0428841961205886	0.128723498334785	SAXO1	0.118536439268803	1
0.123122742233294	0.0795662386481073	0.115341510012163	0.161567116569203	IKZF3	0.119899401865692	1
0.24566340117818	0	0.0527398950394183	0.189968270050626	SMCO1	0.122092891567056	1
0.243814321814473	0.247596445857659	0	0	DEFA6	0.122852691918033	1
0.0516979752137392	0.20999972152086	0.177579290912478	0.0533031504048419	FFAR2	0.12314503451298	1
0.268022836037187	0	0.230160393008904	0	TMCO2	0.124545807261523	1
0.173819332531591	0.0661933771505239	0.149264616700293	0.112010165616921	CABP4	0.125321872999832	1
0.166971516411974	0.203473956978753	0.0286768324720961	0.103293498236658	EN2	0.12560395102487	1
0.0995378925757068	0.0673879703387833	0.170953197967983	0.171047422940911	FCMR	0.127231620955846	1
0.106905855392485	0.180940354115686	0.0765031009294093	0.146966913516037	RGS22	0.127829055988404	1
0.137115785223601	0.22493062552796	0.0634017046887491	0.0869988343755276	SLC24A2	0.128111737453959	1
0	0.0343473589868172	0.377581145929583	0.104618563995661	TMPRSS11B	0.129136767228015	1
0.148979841844586	0.151290863763221	0.0639670474656809	0.153605530667304	COL4A2-AS2	0.129460820935198	1
0.0848986518224727	0.103458751526564	0.18955399148659	0.140055484604245	PRMT8	0.129491719859968	1
0.207872496596498	0.168877663841307	0.142805788401564	0	TRIM54	0.129888987209842	1
0.0324852892961977	0.131956845070271	0.223169848120954	0.133975712135035	SELP	0.130396923655614	1
0.134904402241468	0	0.278032878370584	0.111274449155467	KCNJ9	0.13105293244188	1
0.0854360660465185	0.260284131101307	0.110050316024227	0.0734073152711745	KIAA2012	0.132294457110807	1
0.214672018260317	0.109001038886449	0.0691298316516683	0.138335868447122	NT5DC4	0.132784689311389	1
0.160699730182466	0.0815962773379244	0.206997546937136	0.0828446554484892	GZMB	0.133034552476504	1
0.0709768319973268	0.0961037957627807	0.182850712893342	0.195148261832752	MYO1H	0.13626990062155	1
0.107923521793175	0.0547988326148554	0.278032878370584	0.111274449155467	HDGFL1	0.13800742048352	1
0.0254772268862315	0.129362188004282	0.24065984464504	0.157609629893688	MYO1A	0.13827722235731	1
0.233966868368547	0.135769277504494	0.114808780946658	0.0689232363430533	TXNDC2	0.138367040790688	1
0.0441314362178786	0.089632033728152	0.151588705710808	0.273010063459288	C16orf54	0.139590559779032	1
0.0879547398322188	0.178638242550522	0.302118995322781	0	ARL14	0.14217799442638	1
0.147750208050039	0.0500140518348442	0.16917088834538	0.203116957146513	LGALS12	0.142513026344194	1
0	0.203414041208147	0.21501291131353	0.154894623018311	TSGA13	0.143330393884997	1
0	0.0681659842059274	0.23056920365368	0.276835544908984	GNGT2	0.143892683192148	1
0.125037910431087	0.163256834081346	0.184070293825933	0.110503049161322	TTC16	0.145717021874922	1
