Peak.Humreffed	Peak.Chpreffed	ATAC11_SKM_Hyb1_Human_humreffed_all_peaks.txt	ATAC11_SKM_Hyb1_Chimp_humreffed_all_peaks.txt	Sum Human	Sum Chimp	Binomial p-value
peak_CM_HP_MN_PP_SKM_274882_promoter_SLC22A4	peak_CM_HP_MN_PP_SKM_274882_promoter_SLC22A4	107	55	107	55	5.3647660835355285e-05
peak_CM_SKM_97770_enhancer_RNF113B_76110.0_FARP1_110254.0	peak_CM_SKM_97770_enhancer_RNF113B_76216.0_FARP1_110364.0	11	36	11	36	0.00034600114031491097
peak_CM_HP_MN_PP_SKM_53102_enhancer_WEE1_40129.5_SWAP70_50327.0	peak_CM_HP_MN_PP_SKM_53102_enhancer_WEE1_40147.0_SWAP70_50331.5	38	11	38	11	0.00014197068519905542
peak_CM_HP_MN_PP_SKM_283408_enhancer_SSR1_51609.0_CAGE1_127996.0	peak_CM_HP_MN_PP_SKM_283408_enhancer_SSR1_51875.5_CAGE1_129863.0	43	14	43	14	0.0001538890224443423
peak_HP_MN_PP_SKM_11337_enhancer_MRPL37_27990.5_CYB5RL_28173.5	peak_HP_MN_PP_SKM_11337_enhancer_MRPL37_28168.0_CYB5RL_28353.0	12	39	12	39	0.0001980394513374506
peak_CM_HP_MN_PP_SKM_160690_promoter_UQCRFS1	peak_CM_HP_MN_PP_SKM_160690_promoter_UQCRFS1	39	11	39	11	9.021490107130603e-05
peak_CM_HP_MN_PP_SKM_88467_enhancer_TMEM132B_657123.0_AACS_918321.0	peak_CM_HP_MN_PP_SKM_88467_enhancer_TMEM132B_650365.5_AACS_913414.5	31	7	31	7	0.00011616700794547796
peak_CM_HP_MN_PP_SKM_314680_enhancer_EPHB4_9271.0_SLC12A9_9772.0	peak_CM_HP_MN_PP_SKM_314680_enhancer_EPHB4_9270.0_SLC12A9_9757.5	27	6	27	6	0.0003240634687244892
peak_CM_HP_MN_PP_118625_enhancer_AKAP13_127608.0_PDE8A_271804.0	peak_CM_HP_MN_PP_118625_enhancer_AKAP13_126462.5_PDE8A_407095.0	6	25	6	25	0.0008779102936387062
peak_CM_HP_MN_PP_SKM_244871_enhancer_PSAPL1_220758.0_AFAP1_284096.0	peak_CM_HP_MN_PP_SKM_244871_enhancer_PSAPL1_247382.0_AFAP1_284249.0	12	39	12	39	0.0001980394513374506
peak_CM_HP_MN_PP_SKM_183410_promoter_SAP130	peak_CM_HP_MN_PP_SKM_183410_promoter_SAP130	136	78	136	78	8.909078130014976e-05
peak_CM_HP_PP_SKM_225833_enhancer_SHISA5_34588.0_TREX1_41663.5	peak_CM_HP_PP_SKM_225833_enhancer_SHISA5_34359.0_TREX1_41484.0	9	30	9	30	0.0010650196345523
peak_CM_HP_MN_PP_SKM_173035_promoter_SRSF7	peak_CM_HP_MN_PP_SKM_173035_promoter_SRSF7	110	59	110	59	0.00010742609168386559
peak_CM_HP_MN_PP_SKM_46160_enhancer_SFXN3_11066.5_PDZD7_11763.0	peak_CM_HP_MN_PP_SKM_46160_enhancer_SFXN3_11098.0_PDZD7_11793.5	33	8	33	8	0.00011222142620681552
peak_CM_HP_MN_PP_SKM_213916_enhancer_SLC19A1_13855.0_COL18A1_100227.0	peak_CM_HP_MN_PP_SKM_213916_enhancer_SLC19A1_13078.5_COL18A1_103411.0	8	29	8	29	0.0007528970600105822
