Peak	Maximum Z of Overlapping 1kb Regions	Weighted Average Z of Overlapping 1kb Regions	Z of Most Highly Overlapping 1kb Region
peak_SKM_476_enhancer_AJAP1_238239.5_C1orf174_992674.5	1.3271637289537332	-0.3539295750183329	-1.4283473340307828
peak_CM_478_enhancer_AJAP1_277189.5_C1orf174_1031624.5	3.3162946837915097	2.9762740318486007	2.888808912377756
peak_SKM_486_enhancer_AJAP1_586430.0_NPHP4_751282.0	2.259154044489504	1.3135457699277187	0.9052149240942204
peak_HP_487_enhancer_AJAP1_621186.5_NPHP4_716525.5	0.875832094835861	0.766899026973414	0.7084887322683056
peak_HP_490_enhancer_AJAP1_650381.0_NPHP4_687331.0	1.42227330298279	1.0559786904051753	1.42227330298279
peak_CM_493_enhancer_NPHP4_655326.5_KCNAB2_655601.5	0.0512480746942456	-0.06877615347576763	-0.1252349187004778
peak_MN_499_enhancer_NPHP4_536166.5_KCNAB2_536441.5	2.5988424929804745	1.0818073314091743	0.6822207344868715
peak_SKM_502_enhancer_NPHP4_482344.0_KCNAB2_482619.0	3.317875606820485	2.7676184239598007	2.5188064804054044
peak_HP_PP_503_enhancer_NPHP4_476508.0_KCNAB2_476783.0	3.2272920512358523	2.6758192944870167	3.2272920512358523
peak_HP_PP_518_enhancer_NPHP4_263111.5_KCNAB2_263386.5	3.202082109126513	2.0745191796328886	1.8548441129876727
peak_MN_PP_523_enhancer_NPHP4_233249.0_KCNAB2_233524.0	4.5842458212427415	3.9139717683043043	3.646371861237628
peak_MN_534_enhancer_NPHP4_21639.0_KCNAB2_21914.0	2.455585641520554	2.286117854212478	2.455585641520554
peak_HP_552_enhancer_CHD5_18352.0_RPL22_37795.0	3.882807085802881	2.9030755935208203	2.824411021147808
peak_SKM_584_enhancer_ACOT7_63162.5_GPR153_69159.0	4.635297636551472	3.8836472145509195	4.635297636551472
peak_PP_SKM_591_enhancer_ACOT7_7861.0_HES2_34414.5	3.649707077588194	2.9400129077444968	3.649707077588194
peak_CM_649_enhancer_DNAJC11_23088.5_CAMTA1_60609.0	1.1960378349488785	0.5144004789735455	0.2990365290794985
peak_HP_656_enhancer_CAMTA1_24233.0_DNAJC11_107930.5	1.2837760314408246	0.4534851119719091	0.4110934981257849
peak_MN_657_enhancer_CAMTA1_104635.5_DNAJC11_188333.0	1.6591197437540015	1.5907675370363563	1.6591197437540015
peak_SKM_660_enhancer_CAMTA1_137293.0_DNAJC11_220990.5	2.805639200698781	1.704148860990438	1.4902055450086251
peak_MN_661_enhancer_CAMTA1_170320.0_DNAJC11_254017.5	3.3469890852916904	3.199305017812745	3.16118331746757
peak_HP_MN_PP_SKM_675_enhancer_CAMTA1_284823.0_DNAJC11_368520.5	1.6628528844870931	1.532703385872618	1.6628528844870931
peak_HP_681_enhancer_CAMTA1_350475.5_DNAJC11_434173.0	1.9278726384542384	1.8805426518217132	1.8448830728520027
peak_MN_683_enhancer_CAMTA1_365620.0_DNAJC11_449317.5	3.521552672144632	3.246121455708274	3.2069177424198867
peak_MN_684_enhancer_CAMTA1_368316.0_DNAJC11_452013.5	3.7915359046180783	3.787595585686805	3.7915359046180783
peak_CM_685_enhancer_CAMTA1_387608.0_DNAJC11_471305.5	5.36591197358813	4.948862854787779	5.36591197358813
peak_PP_687_enhancer_CAMTA1_407323.0_DNAJC11_491020.5	1.765238702729346	1.587574032616048	1.765238702729346
peak_MN_688_enhancer_CAMTA1_422534.0_DNAJC11_506231.5	1.7287510794046612	1.3545369312548068	1.7287510794046612
peak_MN_SKM_690_enhancer_CAMTA1_467391.0_VAMP3_518419.5	3.3421258032074466	2.6270579919127393	3.3421258032074466
peak_MN_693_enhancer_VAMP3_486278.0_PER3_499272.0	3.7645465543333136	3.2017407071139	3.7645465543333136
peak_SKM_694_enhancer_VAMP3_479526.5_PER3_492520.5	2.19523890570115	2.189348049879975	2.19523890570115
peak_CM_SKM_695_enhancer_VAMP3_471678.5_PER3_484672.5	4.663110023548351	4.618233749602827	4.663110023548351
