gene	dEE	ASE	humallele	chpallele
SSR3	0.135861635892007	-0.10976928919147	1153.25	1244.5
SSR4	0.184776450707319	-0.167285997555256	1503.75	1688.75
SSRP1	0.0181857764671459	-0.00285816325971899	2394.25	2399
SST	0.124967868887386	0.584962500721156	5.75	3.5
SSTR1	0.143650443340559	-0.807354922057604	11	20
SSTR2	0.36764545214807	0.641546029087524	28.25	17.75
SSTR3	0.855273699704966	-1.00418779696343	171	344
SSTR5	0.390227056723564	1.07800251200127	3.75	1.25
SSU72	0.113981255332429	-0.0552589053068423	1727.75	1795.25
SSUH2	0.0150080396626258	0.0740005814437768	19	18
SSX1	0.171325321364709	-1.58496250072116	0	2
SSX2IP	0.424260399421118	0.328801357248856	327.75	260.75
SSX3	0	0	0	0
SSX4	0	0	0	0
ST13	0.247665109911497	0.152625145859943	514.5	462.75
ST14	0.0240115641311199	0.0210924084595595	171.25	168.75
ST18	0	0	0	0
ST20	0.0605109451687032	0.183892603933432	122.25	107.5
ST20-MTHFS	0.128435057890878	0.379609982683173	163.25	125.25
ST3GAL1	0.182298114811422	-0.731159130462868	4144.25	6880
ST3GAL2	0.190296868808613	-0.0388846457661573	1316.75	1352.75
ST3GAL3	0.210750416538097	-0.375227398927879	345.75	448.75
ST3GAL4	1	0.38183762852489	661.25	507.25
ST3GAL5	0.351102763192903	-0.692528740316987	262.75	425.25
ST3GAL6	0.325334253151527	-0.190570749704537	151.25	172.75
ST6GAL1	1	-0.337906282902947	1188.75	1502.75
ST6GAL2	0.132019333846044	-0.175612661737409	821.75	928.25
ST6GALNAC1	0.418137149965834	-1.67991090477642	11.25	38.25
ST6GALNAC2	0.464298302876543	-1.95190571179896	14.25	58
ST6GALNAC3	0.0362871058503024	-0.0720021788596989	595	625.5
ST6GALNAC4	0.0887794630143647	-0.230750194138356	417	489.5
ST6GALNAC5	0.109298914871503	-0.61836565898837	45.25	70
ST6GALNAC6	0.559529466051683	0.162393089860325	1199	1071.25
ST7	1	0.107197614613487	686.75	637.5
ST7L	0.275535795378016	-0.159011341290566	430.25	480.5
ST8SIA1	0.307436986235067	-1.15083916031141	45.5	102.25
ST8SIA2	0.553294205588408	0.438727605323944	152.5	112.25
ST8SIA3	0.496367460961979	-0.862496476250065	1.75	4
ST8SIA4	0.216968014067935	-0.372726694420879	42.25	55
ST8SIA5	0.126691720667952	-0.578173335058517	16.75	25.5
ST8SIA6	0.152152604929538	0.552541023028779	4.5	2.75
STAB1	0.375974861298717	0.490185721377128	2883.75	2052.75
STAB2	0.603170144303137	-0.605783767220377	492	749.25
STAC	0.182668275307925	1.37196877738696	21	7.5
STAC2	0.437975379448025	-0.768809052488678	57.25	98.25
STAC3	0.397211125282783	0.494764691749578	22.25	15.5
STAG1	0.137217122032204	-0.0343856207348027	247.75	253.75
STAG2	0.264037622654225	0.00651063482367071	609.75	607
STAG3	0.24085126920789	-1.31148405753548	151.5	377.5
STAM	0.182694157213945	0.0756831757700204	439.25	416.75
STAM2	0.67901616736676	0.0535293964167952	452	435.5
STAMBP	0.175017219439823	-0.326838009011169	703	882
STAMBPL1	0.362356516930479	0.0331668639351994	32	31.25
STAP1	0.408219868442124	-0.584962500721156	0	0.5
STAP2	0.272267205064603	1.902831340993	243	64.25
STAR	0.00874520195700149	0.0420640595665439	42.5	41.25
STARD10	0.262219022440381	0.4779192905013	602.75	432.5
STARD13	0.00578706250804247	-0.00598381214900242	299.75	301
STARD3	0.344036862531194	-0.155925512578078	1192.75	1329
STARD3NL	0.375905487841275	0.151800453506394	394.5	355
STARD4	0.185019862199208	0.359658757245176	759.25	591.5
STARD5	0.474150445894601	-0.725763246936785	134.75	223.5
STARD6	1	0.125530882083859	2	1.75
STARD7	0.199934284300991	0.195573588812923	1020.5	891
STARD8	0.283219889037447	-0.471083629171319	212	294.25
STARD9	0.175597144265062	0.808375416096932	1590	907.5
STAT1	0.201233249758183	0.139371596545329	829.75	753.25
STAT2	0.345988853937623	-0.0548093164239398	1329	1380.5
STAT3	0.607109297018556	0.400250497189315	2207.25	1672.25
STAT4	0.248224985656711	-1.30718150951818	28.5	72
STAT5A	0.239132785674367	-0.544832473305439	321	468.75
STAT5B	0.179312494165601	0.619103160340515	998.5	649.75
STAT6	0.278284022621722	-0.520437404591617	2435.75	3494.25
