RNA18_MN_Hyb2_total	RNA30_MN_Hyb1_total	RNA31_MN_Hyb2_total	RNA32_MN_Hyb1_total	gene	mean	bins
0.0198196642678411	0	0	0	SERPINB13	0.00495491606696028	1
0	0	0.0199659149871685	0	CCDC190	0.00499147874679213	1
0	0.0199946971912737	0	0	RIMBP3C	0.00499867429781843	1
0.0201756528492123	0	0	0	C12orf40	0.00504391321230307	1
0	0	0.0201762793454974	0	MYBPC3	0.00504406983637435	1
0	0	0.0205663219772361	0	CLEC7A	0.00514158049430902	1
0.0205917410152135	0	0	0	KRT80	0.00514793525380338	1
0.0207040222234218	0	0	0	OAS1	0.00517600555585545	1
0	0	0.0209157497778202	0	MOGAT2	0.00522893744445505	1
0.0106864499691273	0	0.0102476975959828	0	OR5AU1	0.00523353689127752	1
0.0209420549499864	0	0	0	IL12RB1	0.0052355137374966	1
0	0	0.0211259840854668	0	ADGRG7	0.0052814960213667	1
0	0	0.0211363475802353	0	NLRP5	0.00528408689505883	1
0.0212792701374358	0	0	0	HKDC1	0.00531981753435895	1
0.021304494497485	0	0	0	ASB5	0.00532612362437125	1
0.0213449780974802	0	0	0	GABRA1	0.00533624452437005	1
0.0214724869272142	0	0	0	LMX1A	0.00536812173180355	1
0.0215290746982251	0	0	0	CYP8B1	0.00538226867455628	1
0	0.0123615215915331	0.00919177483569271	0	DMBT1	0.00538832410680645	1
0	0	0.0215701850024078	0	F11	0.00539254625060195	1
0.0218165471693109	0	0	0	PON3	0.00545413679232773	1
0.0219229953135866	0	0	0	OR51M1	0.00548074882839665	1
0	0.0220112563951799	0	0	CNR2	0.00550281409879497	1
0	0	0.022522971532833	0	ADAM18	0.00563074288320825	1
0.0229299203343689	0	0	0	UGT2A1	0.00573248008359223	1
0.0232924722110916	0	0	0	F9	0.0058231180527729	1
0	0.0134069024665227	0.00996909869095548	0	TFEC	0.00584400028936955	1
0.010216275328603	0.0131752233879744	0	0	ABCB5	0.00584787467914435	1
0	0.023540374755357	0	0	SPATA31D4	0.00588509368883925	1
0.0236417673744782	0	0	0	ANXA13	0.00591044184361955	1
0	0	0.0236673686033011	0	FOXN1	0.00591684215082528	1
