RNA20_SKM_Hyb1_total	RNA21_SKM_Hyb2_total	RNA33_SKM_Hyb2_total	RNA7_SKM_Hyb1_total	RNA8_SKM_Hyb2_total	gene	mean	bins
0	0	0.0314275960993535	0	0	DCAF8L2	0.0062855192198707	1
0	0	0.0316481156736134	0	0	NLRP10	0.00632962313472268	1
0	0	0	0.0317206127120587	0	HMGB4	0.00634412254241174	1
0	0	0	0	0.0317582194669888	CCR4	0.00635164389339776	1
0	0.0103778767801808	0	0.00645605095411129	0.0152695881566623	CR1	0.00642070317819088	1
0	0	0	0.0321856137700406	0	GTSF1	0.00643712275400812	1
0.0163040840220167	0	0	0	0.0160784291025341	CD33	0.00647650262491016	1
0	0	0	0.0324167953533848	0	PBOV1	0.00648335907067696	1
0	0.0325404494206368	0	0	0	GOLGA6L6	0.00650808988412736	1
0.0327892635582463	0	0	0	0	PADI4	0.00655785271164926	1
0	0	0	0.0334444171081031	0	OR2L5	0.00668888342162062	1
0	0	0	0.0336104630349948	0	NSMCE3	0.00672209260699896	1
0	0.0338917268427239	0	0	0	CYP4A22	0.00677834536854478	1
0	0	0	0	0.0340186309800429	CCDC196	0.00680372619600858	1
0.034097620592072	0	0	0	0	CLEC9A	0.0068195241184144	1
0	0	0	0	0.0341455887285023	LIPN	0.00682911774570046	1
0	0	0	0	0.0347445258183151	P2RY13	0.00694890516366302	1
0.0106840208413632	0	0.0153346539861838	0.00890946360556946	0	LY9	0.00698562768662329	1
0	0	0	0.0352435961629425	0	LRRC74A	0.0070487192325885	1
0	0	0	0	0.0353323331694156	TMEM212	0.00706646663388312	1
0	0	0	0	0.035515199219091	CCDC197	0.0071030398438182	1
0	0	0	0	0.0359269311472106	OR3A2	0.00718538622944212	1
0.0105738523859275	0	0.0151765304511043	0	0.010427506120443	LOXHD1	0.00723557779149496	1
0	0	0	0.0363474224409765	0	SLC7A13	0.0072694844881953	1
0	0	0	0.0364616199082506	0	FEZF2	0.00729232398165012	1
0.0369003416786174	0	0	0	0	OR10G3	0.00738006833572348	1
0	0	0	0	0.037063508444306	SIX6	0.0074127016888612	1
0	0	0	0	0.0375708306169891	DDI1	0.00751416612339782	1
0	0.0377631068609067	0	0	0	DCAF8L1	0.00755262137218134	1
0	0	0	0	0.0378074041273676	SIGLEC9	0.00756148082547352	1
0	0	0.0241571138642059	0.0140353298471981	0	VAX1	0.0076384887422808	1
0	0	0	0	0.0382134502337475	TRIM42	0.0076426900467495	1
0	0	0	0	0.0387295359353522	PSG1	0.00774590718707044	1
0.0159778418946285	0	0.0229328153265579	0	0	CCR3	0.00778213144423728	1
0	0	0	0.0393016396495319	0	CA5A	0.00786032792990638	1
0	0	0	0	0.0394856612772878	NOTO	0.00789713225545756	1
0	0	0	0.0398511106968763	0	NLRP5	0.00797022213937526	1
0	0	0	0	0.0400954148112025	PADI6	0.0080190829622405	1
0	0	0	0.0400969837885402	0	HLA-DQB2	0.00801939675770804	1
0	0	0	0	0.0401792613499126	REG1B	0.00803585226998252	1
0	0	0	0.0402559411078208	0	GPX6	0.00805118822156416	1
0	0	0.0407999343583378	0	0	LEP	0.00815998687166756	1
0	0	0.0412574137049347	0	0	DMRTC2	0.00825148274098694	1
0	0	0.0261250700758639	0.0151787162099369	0	C8orf74	0.00826075725716016	1
0	0	0.0414040198537234	0	0	ZNF705D	0.00828080397074468	1
