RNA11_HP_Hyb1_total	RNA12_HP_Hyb2_total	RNA22_HP_Hyb1_total	RNA23_HP_Hyb2_total	gene	mean	bins
0	0	0	0.0315936176839824	NLRP2B	0.0078984044209956	1
0	0	0	0.0316332335055298	MMP28	0.00790830837638245	1
0	0.0316831523471515	0	0	IRGM	0.00792078808678788	1
0.0316948497624455	0	0	0	DMRTC2	0.00792371244061137	1
0	0	0	0.0324782796532475	AICDA	0.00811956991331187	1
0	0	0.0326958389505047	0	OR3A3	0.00817395973762618	1
0.0327581109621615	0	0	0	ART3	0.00818952774054038	1
0.0327981208686802	0	0	0	FCRLA	0.00819953021717005	1
0.0328985745313714	0	0	0	HOXC11	0.00822464363284285	1
0.0330199341669006	0	0	0	DMRT1	0.00825498354172515	1
0	0	0	0.0330961019621646	ASZ1	0.00827402549054115	1
0.019843681109353	0.0132925252134456	0	0	SLC1A7	0.00828405158069965	1
0	0.0333473377013971	0	0	C10orf67	0.00833683442534927	1
0	0	0	0.033469325002534	TRIM60	0.0083673312506335	1
0.00726898868815914	0.0194768732436573	0	0.00682885666120592	SLC24A4	0.00839367964825559	1
0	0.0335755664864121	0	0	DDO	0.00839389162160302	1
0	0	0	0.0337266092522192	DNASE1L3	0.0084316523130548	1
0.0157382924314912	0	0.0182617638211464	0	KCNG4	0.0085000140631594	1
0	0	0	0.0340222572092515	IL18RAP	0.00850556430231287	1
0	0.0341330355694407	0	0	SSX3	0.00853325889236018	1
0	0.0341979272720442	0	0	MYOC	0.00854948181801105	1
0	0.0342793897000386	0	0	GIMAP4	0.00856984742500965	1
0	0.0343120834431955	0	0	CABP5	0.00857802086079888	1
0	0.0348775758508876	0	0	CCK	0.0087193939627219	1
0	0	0	0.0350747357951477	CYP7A1	0.00876868394878693	1
0.0182180878298724	0	0	0.0171149957399321	CNGB3	0.00883327089245112	1
0	0.0358507418935631	0	0	CRISP1	0.00896268547339077	1
0	0.0358865032321103	0	0	KRT32	0.00897162580802758	1
0	0.036229828288208	0	0	FGF5	0.009057457072052	1
0	0.0363396156466571	0	0	NOX3	0.00908490391166428	1
0	0.0363947592212347	0	0	CEACAM21	0.00909868980530868	1
0.00916735050310896	0.0102347641575462	0.0141829863252054	0.00287075801208045	MYT1L	0.00911396474948525	1
0.0219167202295302	0.0146811750623099	0	0	HTR5A	0.00914947382296002	1
0.0368233959015865	0	0	0	CCL22	0.00920584897539663	1
0	0.0251376868453643	0	0.011751486535768	ITK	0.00922229334528307	1
0	0.0153744527735857	0	0.0215619689920171	GCSAML	0.0092341054414007	1
0	0	0	0.0370856357525321	CD300LB	0.00927140893813302	1
0	0.0218004662870417	0	0.0152870799701015	ADGRF5	0.0092718865642858	1
0	0.0373003830898813	0	0	KRT81	0.00932509577247033	1
0.0373613376851922	0	0	0	TM4SF20	0.00934033442129805	1
0.0192947450772279	0	0	0.0181264621668116	CYSLTR1	0.00935530181100987	1
0	0.0378298837962046	0	0	CRNN	0.00945747094905115	1
0.0378617715350468	0	0	0	ADGRE3	0.0094654428837617	1
0.0379822651502573	0	0	0	BMX	0.00949556628756433	1
0.0176435357826754	0	0.0204724931142122	0	OR8A1	0.0095290072242219	1
0	0.0139577961164658	0.0241777959416729	0	SPATA31D1	0.00953389801453467	1
0	0.0146007384294604	0.0168610035280471	0.00682562330104437	GREM1	0.00957184131463797	1
0	0	0	0.0383834214083834	RHAG	0.00959585535209585	1
0	0	0	0.0385152728559694	HS3ST2	0.00962881821399235	1
0	0	0.0385275233630058	0	AQP9	0.00963188084075145	1
0.0241270992463899	0.00538727455678205	0.0093318761664663	0	RGPD6	0.00971156249240956	1
0.0232749395113603	0.0155909943619461	0	0	ENPP6	0.0097164834683266	1
0	0.0392753487884176	0	0	IQCF3	0.0098188371971044	1
0.039389015711378	0	0	0	KLRC1	0.0098472539278445	1
0	0.00955289949288118	0.0165476019754811	0.0133975059589272	PCARE	0.00987450185682237	1
0.0183770480487473	0	0.0213236164378655	0	ASPA	0.0099251661216532	1
0.0238856672992946	0.0160000976162733	0	0	PTPN22	0.00997144122889198	1
0	0.0399513819991011	0	0	BTG4	0.00998784549977528	1
0.0185036771481357	0	0.0214705491954046	0	IFI44L	0.00999355658588508	1
0.0402751577971232	0	0	0	TOPAZ1	0.0100687894492808	1
0.0403508061025273	0	0	0	CA6	0.0100877015256318	1
0.024334808755081	0.0163009603489762	0	0	CD209	0.0101589422760143	1
0	0.0169939629145917	0	0.0238332581206046	FCGR1B	0.0102068052587991	1
0	0.0409985407295619	0	0	CSH2	0.0102496351823905	1
0	0.0171193050155558	0	0.0240090447020319	EVX2	0.0102820874293969	1
0	0	0	0.0411373888636934	ADH4	0.0102843472159233	1
0.0411389681520213	0	0	0	CNBD1	0.0102847420380053	1
0	0.0171724198043869	0	0.0240835357715131	CLEC7A	0.010313988893975	1
0	0	0.0415316688035068	0	OTOP2	0.0103829172008767	1
