RNA17_CM_Hyb1_total	RNA19_CM_Hyb2_total	RNA3_CM_Hyb1_total	RNA4_CM_Hyb2_total	gene	mean	bins
0	0	0.0196195730188263	0.0176708230047752	TEX13C	0.00932259900590037	1
0	0	0	0.0373890544889243	GJA10	0.00934726362223108	1
0.00786591734119549	0.0165083723691921	0.00694371523554598	0.00625401800564947	ST18	0.00939300573789576	1
0	0	0.0375937286690184	0	CD3E	0.0093984321672546	1
0	0.0382409132096474	0	0	ITPRID1	0.00956022830241185	1
0	0	0.0385060572153004	0	TPTE	0.0096265143038251	1
0	0.0386178954544831	0	0	EFCAB3	0.00965447386362078	1
0	0	0.0396044867396671	0	PSG9	0.00990112168491677	1
0.0111388693727966	0	0.0196658911136966	0.00885627023503146	FGD2	0.00991525768038116	1
0	0	0.040404900780485	0	CLEC4F	0.0101012251951212	1
0	0	0.0404867252049088	0	CD5L	0.0101216813012272	1
0.021507644072906	0	0.0189860825319886	0	CNR2	0.0101234316512237	1
0.0215444722305651	0	0.0190185929472831	0	TDRD1	0.0101407662944621	1
0	0	0	0.0408868497771707	FAM181A	0.0102217124442927	1
0	0	0.0215295551434245	0.01939109265762	CHIA	0.0102301619502611	1
0	0	0	0.0410733773765191	HEMGN	0.0102683443441298	1
0	0	0.0410857889563995	0	NOTO	0.0102714472390999	1
0	0.0413312223698937	0	0	TM4SF20	0.0103328055924734	1
0	0.0224668678981744	0.0188999290094384	0	PRR27	0.0103416992269032	1
0	0.0413888067967414	0	0	TAAR1	0.0103472016991854	1
0.041418341640033	0	0	0	GPR31	0.0103545854100083	1
0	0	0.0414435010493034	0	HORMAD1	0.0103608752623259	1
0.0101979238151882	0.00535065131094401	0.0180046333809294	0.00810814510170478	C5orf64	0.0104153384021916	1
0	0	0	0.0417398438615345	KRTAP10-4	0.0104349609653836	1
0	0.0238321829750189	0	0.0180571286019514	PNLIPRP1	0.0104723278942426	1
0.0224366447481376	0	0.0198061669369764	0	ARGFX	0.0105607029212785	1
0.0207547188496793	0.0217791906732853	0	0	OR52K1	0.0106334773807411	1
0	0	0.0154428741744044	0.0278179648414429	PAX7	0.0108152097539618	1
0.0433528889907543	0	0	0	CYP4F22	0.0108382222476886	1
0.0435027837279486	0	0	0	FAM177B	0.0108756959319872	1
0	0	0.0435563069851503	0	DAOA	0.0108890767462876	1
0	0.0437025613510277	0	0	TMEM212	0.0109256403377569	1
0	0	0.043890987719394	0	SLC9A4	0.0109727469298485	1
0.0234301150514898	0	0.0206831625348479	0	SLAMF7	0.0110283193965844	1
0.0245901728651141	0	0	0.0195511060172269	TNFSF8	0.0110353197205852	1
0	0.0446719038772348	0	0	TKTL2	0.0111679759693087	1
0.0451866504564447	0	0	0	PBOV1	0.0112966626141112	1
0	0	0	0.0454481793080918	IL2RA	0.011362044827023	1
0.045486140206407	0	0	0	SLC36A3	0.0113715350516017	1
0.0456419774461307	0	0	0	TRIM40	0.0114104943615327	1
0.0254810409639627	0	0	0.0202594156636656	IDO2	0.0114351141569071	1
0	0.045755588876952	0	0	CHRNB3	0.011438897219238	1
0	0.0457732142963962	0	0	CHRNA6	0.011443303574099	1
0	0	0	0.0458415698621842	TEX55	0.011460392465546	1
0.045919605046168	0	0	0	MMD2	0.011479901261542	1
0.0256542242962959	0	0	0.020397109925086	CD209	0.0115128335553455	1
0	0	0.0462143895196116	0	TRIM49	0.0115535973799029	1
0	0	0	0.0463847723901751	ASCL4	0.0115961930975438	1
0	0.0465259453067519	0	0	MMP20	0.011631486326688	1
0.0466190802980034	0	0	0	OR2L5	0.0116547700745008	1
0	0	0.0467329240443758	0	SYCP1	0.0116832310110939	1
0	0.0266309422486429	0	0.0201776878550717	CFAP299	0.0117021575259286	1
0	0	0.0469744946103947	0	CYLC1	0.0117436236525987	1
0	0	0	0.0474356392040726	RFPL4B	0.0118589098010182	1
0	0.0476834929026663	0	0	SLC22A24	0.0119208732256666	1
0.0476991348120684	0	0	0	PNLIPRP3	0.0119247837030171	1
0	0	0	0.0480431393859818	NPHS2	0.0120107848464955	1
0	0	0	0.0484829527244641	UGT2B28	0.012120738181116	1
0.0258062320063469	0	0.0227807029468824	0	ITGAD	0.0121467337383073	1
0	0	0.0486431749542189	0	C22orf42	0.0121607937385547	1
0	0	0.0491212405557346	0	HTN3	0.0122803101389337	1
0.0269325118429897	0	0.0118874687276632	0.010706724130019	OR5AU1	0.012381676175168	1
0	0.0502653402341136	0	0	CLEC4E	0.0125663350585284	1
0	0	0.0504602344931448	0	OTOP1	0.0126150586232862	1
0.0504624536737301	0	0	0	OR52E5	0.0126156134184325	1
0	0	0.0506391714948936	0	KCNK16	0.0126597928737234	1
0	0	0.0507162478594216	0	NLRP4	0.0126790619648554	1
0	0.0508025926949314	0	0	KDM4E	0.0127006481737328	1
0	0.0509332465981331	0	0	VSIG4	0.0127333116495333	1
0	0	0.0511836787152688	0	FSHB	0.0127959196788172	1
0.0511924710867316	0	0	0	ATOH1	0.0127981177716829	1
0	0.0517540349797232	0	0	KRT9	0.0129385087449308	1
0	0	0.0518742732386714	0	MAGEA9B	0.0129685683096679	1
0	0.0519123041998447	0	0	KLK15	0.0129780760499612	1
0	0	0.0522266063379937	0	ARL14EPL	0.0130566515844984	1
0	0	0	0.0522535363954323	OTUD6A	0.0130633840988581	1
0.0277747721471303	0	0.0245184509519058	0	NLRP5	0.013073305774759	1
0.0523521710789877	0	0	0	TRIM49C	0.0130880427697469	1
0.0279254614164859	0	0.0246514733738397	0	AADACL3	0.0131442336975814	1
0	0.0299614887325881	0	0.0227011707537392	KCNU1	0.0131656648715818	1
0.0527545986693922	0	0	0	PAPOLB	0.0131886496673481	1
0	0	0.0527781016530728	0	PSMA8	0.0131945254132682	1
0.022846312124251	0.011987013448345	0	0.0181646006676747	TSHR	0.0132494815600677	1
0	0.0530715785231999	0	0	NCF4	0.0132678946308	1
0.0284088675473784	0	0.0250782048497039	0	BIN2	0.0133717680992706	1
0.028451694985892	0	0.0251160111886733	0	OR1C1	0.0133919265436413	1
0.00770691799114206	0.0080873384818243	0.0136067140176846	0.024510404467251	MUC17	0.0134778437394755	1
0	0.053938839906239	0	0	CD1E	0.0134847099765598	1
0	0	0.0542385917150949	0	NKX2-8	0.0135596479287737	1
0	0.0542590248006596	0	0	GLYATL3	0.0135647562001649	1
0.0542846337698228	0	0	0	THEG	0.0135711584424557	1
0.0543889270143373	0	0	0	MS4A3	0.0135972317535843	1
0.0390004291523507	0	0	0.0155041920456914	ENAM	0.0136261552995105	1
0	0	0.0289492396556385	0.0260738034200202	ZP2	0.0137557607689147	1
