RNA15_PP_Hyb1_total	RNA16_PP_Hyb2_total	RNA24_PP_Hyb1_total	RNA25_PP_Hyb2_total	gene	mean	bins
0.0223164767894538	0	0	0	SLC22A12	0.00557911919736345	1
0	0.0225291459394923	0	0	OR51M1	0.00563228648487308	1
0.0231025088968924	0	0	0	HOXC11	0.0057756272242231	1
0.0233167516378219	0	0	0	AQP9	0.00582918790945547	1
0	0	0.0235840120819303	0	CYP11B1	0.00589600302048258	1
0	0	0	0.0237236642165697	OR5K1	0.00593091605414243	1
0	0.0237885031442501	0	0	FCRL4	0.00594712578606253	1
0	0.0240236652460924	0	0	CLEC12B	0.0060059163115231	1
0.0247229405271563	0	0	0	SERF1B	0.00618073513178908	1
0.0255867339037835	0	0	0	ZNF80	0.00639668347594587	1
0	0.0260499207915315	0	0	CPLX4	0.00651248019788288	1
0.0261092736408286	0	0	0	PRAMEF12	0.00652731841020715	1
0	0	0.0262141529642175	0	HTN1	0.00655353824105437	1
0	0	0	0.0262757889919724	CES5A	0.0065689472479931	1
0	0	0.0265651726878948	0	OR2H1	0.0066412931719737	1
0.0269584315755374	0	0	0	MUC7	0.00673960789388435	1
0	0.0275662594644714	0	0	SLC10A2	0.00689156486611785	1
0.0276907825067378	0	0	0	DDX43	0.00692269562668445	1
0.0278955959868172	0	0	0	GPR15	0.0069738989967043	1
0	0.028214778248084	0	0	GAPT	0.007053694562021	1
0.0283357218438594	0	0	0	CA6	0.00708393046096485	1
0	0.0283708046715758	0	0	EPOP	0.00709270116789395	1
0.0123898967720686	0	0.0162934222760511	0	OR8A1	0.00717082976202993	1
0	0.0288313984408302	0	0	KBTBD13	0.00720784961020755	1
0	0.029122349166187	0	0	SIGLEC8	0.00728058729154675	1
0	0	0	0.0301705890788598	FOXR2	0.00754264726971495	1
0	0	0	0.030192208992209	PRR23C	0.00754805224805225	1
0	0.0303274118903051	0	0	C2orf78	0.00758185297257627	1
0	0	0.0308248461207579	0	SUPT20HL2	0.00770621153018947	1
0	0.0161927001939293	0	0.0147758119055331	GABRR3	0.0077421280248656	1
0	0	0.0311540059097359	0	C5orf58	0.00778850147743397	1
0	0.0124748247306348	0	0.0189720945824152	C5orf64	0.0078617298282625	1
0	0	0	0.0315604701487848	LGALS9B	0.0078901175371962	1
0	0	0.031640942525231	0	FSCB	0.00791023563130775	1
0	0.031788973909115	0	0	ADAM2	0.00794724347727875	1
0	0	0	0.0318106664013799	RTL3	0.00795266660034498	1
0	0	0	0.0320100494956336	CNR2	0.0080025123739084	1
0	0	0.0321225242281733	0	GHSR	0.00803063105704332	1
0.010759275135273	0.00878156801121901	0.00471635388059143	0.00801316615607222	OPRM1	0.00806759079578892	1
0	0	0.0325440796642385	0	CRYAA2	0.00813601991605963	1
0	0.0326545152779275	0	0	BMX	0.00816362881948188	1
0	0	0	0.0329165841004904	ADORA3	0.0082291460251226	1
0	0	0.0329987873641381	0	KRT74	0.00824969684103453	1
0.0330831980475236	0	0	0	CARD18	0.0082707995118809	1
0.0149129481115765	0.0182576056160496	0	0	FCRL2	0.00829263843190653	1
0.0334203329855355	0	0	0	ZPBP2	0.00835508324638387	1
0	0	0	0.0335188764110006	TRIM42	0.00837971910275015	1
0	0	0.0183965791573811	0.0156280517984524	NANOG	0.00850615773895837	1
0.0147036435766771	0	0.0193361315431967	0	ZPLD1	0.00850994377996845	1
0	0	0	0.0341021672591078	OPN4	0.00852554181477695	1
0.034278432878143	0	0	0	SLC13A1	0.00856960821953575	1
0	0	0.0243183022350083	0.0103293031744613	ACSM2B	0.0086619013523674	1
