RNA26_RPE_Hyb1_total	RNA27_RPE_Hyb1_total	RNA28_RPE_Hyb2_total	RNA29_RPE_Hyb2_total	gene	mean	bins
0	0	0	0.0277921561668612	CYP11B1	0.0069480390417153	1
0	0.0284558446178476	0	0	GP2	0.0071139611544619	1
0	0.028978693008762	0	0	BOLL	0.0072446732521905	1
0	0	0.0291577856372466	0	C1orf94	0.00728944640931165	1
0	0	0.0295830587185555	0	ZNF98	0.00739576467963887	1
0.0298116380867026	0	0	0	PIWIL3	0.00745290952167565	1
0.0302168602461967	0	0	0	SLC22A25	0.00755421506154918	1
0	0	0.0302541473718975	0	SUPT20HL2	0.00756353684297438	1
0	0	0	0.0303383879672511	CYP4A22	0.00758459699181278	1
0	0	0.0138548237146387	0.0166349521613517	LILRB5	0.0076224439689976	1
0	0	0	0.0308915985300788	HTN1	0.0077228996325197	1
0.0100929101436598	0	0	0.0208125716794834	OAS2	0.0077263704557858	1
0.0309510400337783	0	0	0	ANKRD40CL	0.00773776000844457	1
0.0311124203193551	0	0	0	ZNF705G	0.00777810507983877	1
0.0153643663970362	0	0	0.0158414160235558	DTHD1	0.007801445605148	1
0	0.0316123962997834	0	0	NUDT4B	0.00790309907494585	1
0	0	0	0.0318078391395424	EXD1	0.0079519597848856	1
0	0	0.0327693861470098	0	PADI4	0.00819234653675245	1
0.032967042641387	0	0	0	IL10	0.00824176066034675	1
0.0108481159356741	0	0	0.0223698801718148	C4orf54	0.00830449902687222	1
0	0	0.0207696738651235	0.0124686729427006	DMBT1	0.00830958670195603	1
0	0.0333137579061954	0	0	TPD52L3	0.00832843947654885	1
0	0	0	0.033474744798917	GPR88	0.00836868619972925	1
0	0	0	0.0335131332677231	IDO1	0.00837828331693078	1
0	0.0186298296640471	0.0157536968030366	0	WBP2NL	0.00859588161677093	1
0	0.0186358606869232	0.0157587967372558	0	OR52A1	0.00859866435604475	1
0.00850068678441404	0.0172651041949181	0	0.00876462539085389	XIRP2	0.00863260409254651	1
0	0	0	0.0345839671117806	SLC22A12	0.00864599177794515	1
0	0.0351871477151013	0	0	CCL14	0.00879678692877532	1
0	0.0356226322165258	0	0	PRDM13	0.00890565805413145	1
0	0	0.0358196638126439	0	NAA11	0.00895491595316097	1
0.0178092459383805	0.0180855085334294	0	0	MYH2	0.00897368861795247	1
0	0	0.0360985710948336	0	TIGD5	0.0090246427737084	1
0	0	0	0.0363815153556857	IL23R	0.00909537883892142	1
0	0	0	0.0364495818016272	CES5A	0.0091123954504068	1
0	0	0	0.0364951011045327	KBTBD13	0.00912377527613317	1
0	0	0.0365731954330452	0	CA6	0.0091432988582613	1
0.0243238917922613	0.01235060580603	0	0	ITPRID1	0.00916862439957282	1
0	0	0	0.0368401540617139	DRD3	0.00921003851542847	1
0	0	0.0368779720616539	0	PIWIL1	0.00921949301541347	1
0.0369536048382432	0	0	0	ENTHD1	0.0092384012095608	1
0	0	0.0372590303263552	0	RTL4	0.0093147575815888	1
0	0	0.0372875703725646	0	CNBD1	0.00932189259314115	1
0	0.0374170774533023	0	0	EFCAB3	0.00935426936332557	1
0	0	0.0376771850784699	0	ZNF257	0.00941929626961747	1
0	0.0380602801070451	0	0	CPN2	0.00951507002676127	1
0	0	0.0381197518569954	0	MMP20	0.00952993796424885	1
0	0	0	0.0383635736258019	GPR151	0.00959089340645048	1
0.0387006860022973	0	0	0	FAM9C	0.00967517150057432	1
0	0.0389486966589348	0	0	C14orf180	0.0097371741647337	1
0	0	0.0396892972860849	0	AWAT2	0.00992232432152122	1
0	0	0.0397054837857937	0	BLK	0.00992637094644843	1
0	0	0	0.0398818863315654	CEACAM3	0.00997047158289135	1
0	0	0.0403472218163142	0	UBQLN3	0.0100868054540785	1
0.0200200705710277	0	0	0.0206416755849935	GOLGA8F	0.0101654365390053	1
0	0.0411922530675532	0	0	SH2D1B	0.0102980632668883	1
0	0.0204971243232707	0	0.0208107190382443	RNF17	0.0103269608403787	1
0	0	0	0.0414223277242446	SLCO1B7	0.0103555819310611	1
0	0	0.0417307527830117	0	VSIG4	0.0104326881957529	1
0.0422563025135036	0	0	0	C12orf77	0.0105640756283759	1
0.022770367472129	0	0.0195536947665729	0	SLC36A3	0.0105810155596755	1
0.0423985264187472	0	0	0	OR3A2	0.0105996316046868	1
0	0	0	0.0424605190111945	PRLHR	0.0106151297527986	1
0	0.0210710738147532	0	0.0213934496408891	SERPINA10	0.0106161308639106	1
0	0	0	0.0429914707016618	TMEM212	0.0107478676754155	1
0	0.0432503183034603	0	0	TBX22	0.0108125795758651	1
0	0.0432828373397787	0	0	TKTL2	0.0108207093349447	1
0	0.0432991152026368	0	0	CD3E	0.0108247788006592	1
0	0	0	0.0434711077864702	OR13A1	0.0108677769466176	1
