RNA20_SKM_Hyb1_total	RNA21_SKM_Hyb2_total	RNA33_SKM_Hyb2_total	RNA7_SKM_Hyb1_total	RNA8_SKM_Hyb2_total	gene	mean	bins
0.0362124706681217	0	0	0	0	CLEC9A	0.00724249413362434	1
0	0	0.0362688821184873	0	0	ACSM2A	0.00725377642369746	1
0	0	0	0	0.0363230466074011	P2RY13	0.00726460932148022	1
0	0	0	0.0366998890264498	0	OR2L5	0.00733997780528996	1
0	0	0	0.0374163727601549	0	LRRC74A	0.00748327455203098	1
0.0112364529678825	0	0.016171404074676	0	0.0109075728481958	LOXHD1	0.00766308597815086	1
0	0	0.038447826586846	0	0	MUC21	0.0076895653173692	1
0	0	0	0.0385709924920201	0	SLC7A13	0.00771419849840402	1
0	0	0	0	0.0390204423702369	SIX6	0.00780408847404738	1
0	0	0	0	0.0392340022581115	DDI1	0.0078468004516223	1
0.0393703746220439	0	0	0	0	OR10G3	0.00787407492440878	1
0	0	0	0	0.0394034463196896	SIGLEC9	0.00788068926393792	1
0.039490681343578	0	0	0	0	LILRA2	0.0078981362687156	1
0	0	0	0	0.0395899715093686	KRT76	0.00791799430187372	1
0	0.0396828859930556	0	0	0	DCAF8L1	0.00793657719861112	1
0	0	0	0	0.039888941882452	TRIM42	0.0079777883764904	1
0	0	0	0.0406814807604514	0	FAM47B	0.00813629615209028	1
0	0	0.0257605763315606	0.0149315684231574	0	VAX1	0.0081384289509436	1
0	0	0	0.041724595651745	0	CA5A	0.008344919130349	1
0	0	0	0	0.0419217116859855	PADI6	0.0083843423371971	1
0	0	0	0	0.042815946150277	LRRC10	0.0085631892300554	1
0	0	0	0	0.0429350065352938	CHIA	0.00858700130705876	1
0	0	0	0	0.0429441924588144	KRT38	0.00858883849176288	1
0	0	0	0.0430041083082309	0	NLRP5	0.00860082166164618	1
0	0	0	0.0430792903157627	0	GPX6	0.00861585806315254	1
0	0	0.0435322085696589	0	0	LEP	0.00870644171393178	1
0	0	0.0439436175106598	0	0	DMRTC2	0.00878872350213196	1
0	0	0	0.043979979200488	0	KCNA10	0.0087959958400976	1
0.0240266334551446	0	0	0.0200429326544636	0	PAPOLB	0.00881391322192164	1
0.00956486296211373	0	0	0.0159579497108256	0.0185698173330094	CR1	0.00881852600118975	1
0	0	0	0.0453919680063984	0	OR3A3	0.00907839360127968	1
0	0.0279727877430345	0	0.0174196605154831	0	ANKRD34C	0.00907848965170352	1
0	0	0	0.0455357651595338	0	PRR23B	0.00910715303190676	1
0	0	0	0	0.0458686370092547	GLYATL3	0.00917372740185094	1
0.0459087938532359	0	0	0	0	CYP4Z1	0.00918175877064718	1
0	0	0.0459947724547432	0	0	ERVFRD-1	0.00919895449094864	1
0	0	0	0.0213847605286777	0.024884844477126	MS4A14	0.00925392100116074	1
0	0	0	0.0464680706962053	0	PSMA8	0.00929361413924106	1
0	0.0474454512215704	0	0	0	FAM217A	0.00948909024431408	1
0	0.0477233880481613	0	0	0	ADAM2	0.00954467760963226	1
0.011321353893724	0	0.0162935927388408	0.0094442333784666	0.0109899888059844	LY9	0.00960983376340316	1
0	0	0	0.030818202327017	0.0179311377123904	MGAT4D	0.00974986800788148	1
