RNA15_PP_Hyb1_total	RNA16_PP_Hyb2_total	RNA24_PP_Hyb1_total	RNA25_PP_Hyb2_total	gene	mean	bins
0	0	0.0271295682057467	0	HTN1	0.00678239205143668	1
0	0	0	0.027238535661387	IDO1	0.00680963391534675	1
0	0.0279120065122726	0	0	OR4N2	0.00697800162806815	1
0.0133447559421956	0	0	0.0147930214193853	FAM9C	0.00703444434039522	1
0	0.0283119397399112	0	0	SLC10A2	0.0070779849349778	1
0.0285861292124395	0	0	0	MUC7	0.00714653230310987	1
0.0286596154057877	0	0	0	DDX43	0.00716490385144693	1
0.0288823585307032	0	0	0	GPR15	0.0072205896326758	1
0	0	0	0.0298514800761095	OR10AC1	0.00746287001902738	1
0	0.0299101223994646	0	0	SIGLEC8	0.00747753059986615	1
0.00754448305780742	0.00916908334577556	0.00496745960766475	0.00836326268953647	OPRM1	0.00751107217519605	1
0	0	0	0.0309737161691963	FOXR2	0.00774342904229908	1
0	0	0.0318262014132451	0	C5orf58	0.00795655035331128	1
0	0.0166540821999477	0	0.0151904458754285	GABRR3	0.00796113201884405	1
0	0	0	0.0326697844639597	RTL3	0.00816744611598992	1
0	0.0326826320222958	0	0	ADAM2	0.00817065800557395	1
0	0	0	0.032893379946983	CNR2	0.00822334498674575	1
0	0	0.0333225695082258	0	GHSR	0.00833064237705645	1
0	0.0335378352647463	0	0	BMX	0.00838445881618658	1
0.0152541307173495	0.0185388972104579	0	0	C18orf63	0.00844825698195185	1
0	0	0	0.0338456921989692	ADORA3	0.0084614230497423	1
0.0339748074662429	0	0	0	ZPBP2	0.00849370186656073	1
0	0	0.0341644961314389	0	FSCB	0.00854112403285972	1
0	0	0.0341872270004552	0	KRT74	0.0085468067501138	1
0.0154351528382041	0.0187588999463415	0	0	FCRL2	0.0085485131961364	1
0	0	0	0.034383779515328	TRIM42	0.008595944878832	1
0	0	0	0.0350099511374202	OPN4	0.00875248778435505	1
0.0151534238349437	0	0.0199547192938579	0	ZPLD1	0.0087770357822004	1
0	0.0188671171928988	0	0.0172089893098399	AADACL2	0.00901902662568468	1
0.0360795805593897	0	0	0	ATXN3L	0.00901989513984743	1
0.0366299613940202	0	0	0	SLC13A1	0.00915749034850505	1
0.0367074942379868	0	0	0	SSX2B	0.0091768735594967	1
0	0	0	0.0368282627758898	LIPF	0.00920706569397245	1
0.0159233080493695	0	0.0209685379235602	0	OR1D2	0.00922296149323243	1
0	0.0370343608468186	0	0	SERPINA9	0.00925859021170465	1
0.0370736972683895	0	0	0	MYOC	0.00926842431709738	1
0	0	0.0372748655652406	0	CXCL9	0.00931871639131015	1
0	0.0196082278537735	0	0.0178849678024737	ANKRD62	0.0093732989140618	1
0	0	0.0379073420742783	0	RNASE9	0.00947683551856958	1
0	0	0.0379353282995084	0	KLRC1	0.0094838320748771	1
0.0163846594058282	0	0.0215760664210305	0	MROH5	0.00949018145671468	1
0.0388646079432071	0	0	0	CRISP1	0.00971615198580177	1
0	0.0194673641479274	0.0105466753246478	0.00887824191918773	OR52A1	0.00972307034794073	1
0.0175924555342561	0.0213807480001583	0	0	DCAF8L2	0.0097433008836036	1
0.0390982629007815	0	0	0	RDH8	0.00977456572519537	1
0	0.0393384480002913	0	0	HORMAD1	0.00983461200007282	1
0.0115392773547183	0	0.0151954464532557	0.012791599772374	C5AR2	0.009881580895087	1
0	0.0398341025320044	0	0	PATE1	0.0099585256330011	1
0	0.0191567356349631	0.0207567772901168	0	ANKRD34C	0.00997837823126997	1
0	0.0209232292364223	0	0.0190844008957788	SPATA31D3	0.0100019075330503	1
0.0181362149081943	0.0220415984496171	0	0	PAPOLB	0.0100444533394528	1
0	0.0404111623897326	0	0	TCL1A	0.0101027905974332	1
0.00854578764235216	0	0.0225069654759896	0.00947323579287837	LY9	0.010131497227805	1
0	0	0.0221432459304823	0.0186402907262584	PPP1R3A	0.0101958841641852	1
0.0122762518090231	0.0149197731836877	0	0.0136085558062868	KLK2	0.0102011451997494	1
0	0	0	0.0409415945388382	NOBOX	0.0102353986347096	1
0.0177243090506382	0	0.0233401781429408	0	PASD1	0.0102661217983947	1
0	0	0.0414215253379155	0	TRIM40	0.0103553813344789	1
0.0178909061783494	0	0.0235595608352518	0	G6PC	0.0103626167534003	1
0.0179237787666422	0	0.0236028489580543	0	TLR8	0.0103816569311741	1
0	0	0.0417411877999059	0	PRDM9	0.0104352969499765	1
0.0422981749322276	0	0	0	CD40LG	0.0105745437330569	1
0.0274644141298469	0	0	0.015222521425403	FBXO40	0.0106717338888125	1
0	0.0428968783938048	0	0	RTP1	0.0107242195984512	1
0.0185280467117664	0	0.0243985765345129	0	CYP11B1	0.0107316558115698	1
0	0.0429357166721152	0	0	CD1E	0.0107339291680288	1
0	0.0432687035258679	0	0	TXNDC8	0.010817175881467	1
0.00918875930177322	0	0.0242003542595946	0.0101859871965813	OR56A1	0.0108937751894873	1
0	0	0.0237062985843987	0.0199560759539943	BRDT	0.0109155936345983	1
0.0436954830626875	0	0	0	PRAMEF12	0.0109238707656719	1
0.0190225795856088	0	0.0250497999666955	0	ACSM2A	0.0110180948880761	1
0	0.0212561627361502	0.0230315563342376	0	C12orf40	0.0110719297675969	1
0.0443914293230716	0	0	0	C9orf57	0.0110978573307679	1
0.0129462728516855	0.031468148018813	0	0	GIMAP5	0.0111036052176246	1
0.0129828868324671	0	0.0170964572223205	0.0143918797638605	TIGIT	0.011117805954662	1
0	0	0	0.0452456010777015	ARL14EPL	0.0113114002694254	1
0	0	0.045311642135524	0	POTEA	0.011327910533881	1
0	0	0	0.0456756015103301	PRR23B	0.0114189003775825	1
0	0.0460412612275254	0	0	CCT8L2	0.0115103153068814	1
0.0460413762536637	0	0	0	TFDP3	0.0115103440634159	1
0	0	0.0460631126684753	0	FABP2	0.0115157781671188	1
0.0461230098995035	0	0	0	KRT28	0.0115307524748759	1
0	0	0	0.0461384476056348	KRT83	0.0115346119014087	1
0.0219090771336215	0	0	0.0242868021506359	OR5K1	0.0115489698210643	1
0	0	0	0.0463858387456114	KRT36	0.0115964596864028	1
0	0	0	0.0465605970186035	FAM71C	0.0116401492546509	1
0.0468147167066346	0	0	0	ARRDC5	0.0117036791766586	1
0.047040465792622	0	0	0	HBG1	0.0117601164481555	1
0	0	0	0.0472213915177758	DEFB112	0.011805347879444	1
0.0475854467987561	0	0	0	KRTAP24-1	0.011896361699689	1
0.0139581707655088	0	0.0183807555649022	0.0154730082741129	CYSLTR1	0.011952983651131	1
0.0336331559043068	0	0.01476322430159	0	OR2AG1	0.0120990950514742	1
0	0.0486384605788217	0	0	MAGEB10	0.0121596151447054	1
0	0.0487634951818521	0	0	GPR6	0.012190873795463	1
0	0.0255096821217597	0	0.0232677754869729	SOHLH1	0.0121943644021832	1
