RNA26_RPE_Hyb1_total	RNA27_RPE_Hyb1_total	RNA28_RPE_Hyb2_total	RNA29_RPE_Hyb2_total	gene	mean	bins
0	0	0.029799697695218	0	OR4N2	0.0074499244238045	1
0	0	0.0302718603193874	0	C1orf94	0.00756796507984685	1
0.0305362479789285	0	0	0	LILRB2	0.00763406199473212	1
0	0.0306100702028405	0	0	SLFN12L	0.00765251755071013	1
0	0.0306724125046793	0	0	ROS1	0.00766810312616983	1
0.031643695905631	0	0	0	SLC22A25	0.00791092397640775	1
0.0319848678291418	0	0	0	OR2H1	0.00799621695728545	1
0	0	0.0323615764679932	0	GAGE1	0.0080903941169983	1
0.0323952660786558	0	0	0	ANKRD40CL	0.00809881651966395	1
0	0	0	0.0331045137428608	EXD1	0.0082761284357152	1
0.0334735852316266	0	0	0	C11orf44	0.00836839630790665	1
0	0	0.033618649657487	0	CCR4	0.00840466241437175	1
0	0	0.0337643790491333	0	PADI4	0.00844109476228332	1
0	0	0	0.0340490341349648	C1orf127	0.0085122585337412	1
0	0	0.0341515591124286	0	CA6	0.00853788977810715	1
0	0	0	0.0343856771278246	SLC22A12	0.00859641928195615	1
0.0344953080366617	0	0	0	IL10	0.00862382700916542	1
0	0	0.0346897474369136	0	FAM217A	0.0086724368592284	1
0	0.0347709195724042	0	0	RDH16	0.00869272989310105	1
0	0.0348010503519296	0	0	TPD52L3	0.0087002625879824	1
0	0.0173179871091534	0	0.0174968085428344	POU2AF1	0.00870369891299695	1
0	0	0	0.0348583324835336	GPR88	0.0087145831208834	1
0	0	0.0350499732669958	0	SLFN14	0.00876249331674895	1
0	0	0.035554555045067	0	OR4E2	0.00888863876126675	1
0	0.0195459500840981	0.0164275426295183	0	WBP2NL	0.0089933731784041	1
0	0.0367769341631198	0	0	PRDM13	0.00919423354077995	1
0	0.0367994002194198	0	0	CCL14	0.00919985005485495	1
0	0	0.016753701649297	0.0201398572191428	OR8A1	0.00922338971710995	1
0	0	0.0373650822023435	0	NAA11	0.00934127055058587	1
0	0	0.0373788751452015	0	KLRC1	0.00934471878630038	1
0.0186227023926736	0.0189079153042028	0	0	MYH2	0.0093826544242191	1
0	0	0	0.037897041417341	IL23R	0.00947426035433525	1
0.038278664401973	0	0	0	CYP4F2	0.00956966610049325	1
0	0	0	0.0383266048590992	IDO1	0.0095816512147748	1
0	0	0	0.0384476617285215	DRD3	0.00961191543213038	1
0.0386653175777505	0	0	0	ENTHD1	0.00966632939443762	1
0	0.0386901850733399	0	0	CDC14C	0.00967254626833497	1
0	0	0.0387373269963087	0	RTL4	0.00968433174907717	1
0	0	0	0.0389645637107872	KBTBD13	0.0097411409276968	1
0	0.0390159444036206	0	0	AICDA	0.00975398610090515	1
0	0.0212077515082521	0.0178242162943761	0	CCDC155	0.00975799195065705	1
0	0	0.0392250136619604	0	ZNF257	0.0098062534154901	1
0	0	0	0.0395083729414149	GPR151	0.00987709323535372	1
0	0	0.0396318484416246	0	MMP20	0.00990796211040615	1
0	0.0397365555139777	0	0	ANTXRL	0.00993413887849443	1
0.0400620728042256	0	0	0	MAGEA10	0.0100155182010564	1
0	0.0201642236516118	0	0.0203724346497907	CD33	0.0101341645753506	1
0.040582715337249	0	0	0	FAM9C	0.0101456788343122	1
0	0	0.0412126059293247	0	AWAT2	0.0103031514823312	1
0.0154429801725815	0	0.0263559012931678	0	TCP10	0.0104497203664373	1
0	0	0.041964099779673	0	UBQLN3	0.0104910249449182	1
0	0	0.0419814978309912	0	SUPT20HL2	0.0104953744577478	1
0	0	0.0420861898455324	0	BLK	0.0105215474613831	1
0	0.0427238426660923	0	0	KNCN	0.0106809606665231	1
0	0	0	0.0428007373531994	SLCO1B7	0.0107001843382998	1
0	0.0430905709293206	0	0	SH2D1B	0.0107726427323302	1
0	0	0.0434030744827908	0	VSIG4	0.0108507686206977	1
0	0.0442132977315157	0	0	SFTPA2	0.0110533244328789	1
0	0	0	0.044473985031969	PRLHR	0.0111184962579922	1
0.0445769570421173	0	0	0	OR3A2	0.0111442392605293	1
0	0.0452766765570764	0	0	TKTL2	0.0113191691392691	1
0	0.0456022847533612	0	0	CD3E	0.0114005711883403	1
0.0457102695092897	0	0	0	CHRNB3	0.0114275673773224	1
0	0.0459501282678796	0	0	RHAG	0.0114875320669699	1
0.0248771194226659	0	0.0212283800352937	0	ATP1B4	0.0115263748644899	1
0	0	0	0.0461955586461097	B3GNT6	0.0115488896615274	1
0.0462086680864938	0	0	0	C12orf77	0.0115521670216234	1
0	0	0.0463005819699821	0	NXPE4	0.0115751454924955	1
0.0465531030388843	0	0	0	CEACAM8	0.0116382757597211	1
0	0	0.0332652341551744	0.0133295331835851	LY9	0.0116486918346899	1
0	0.0469163692828584	0	0	SLC17A2	0.0117290923207146	1
0.012132078483398	0	0.0103526605427207	0.0248901537741538	BSND	0.0118437232000681	1
0	0	0	0.0475303775995702	SERPINA9	0.0118825943998925	1
0	0.0478289941716476	0	0	CEACAM7	0.0119572485429119	1
0	0.0480004925571237	0	0	SAMD7	0.0120001231392809	1
0.0480420484397232	0	0	0	C4BPA	0.0120105121099308	1
0	0	0.0219461146008563	0.0263817288757042	ENPP6	0.0120819608691401	1
0	0.0485615624016043	0	0	TRIM40	0.0121403906004011	1
0.0486925973106755	0	0	0	BTNL3	0.0121731493276689	1
0	0	0.0487527071585705	0	UGT2B17	0.0121881767896426	1
0	0.0487580883522381	0	0	OPN4	0.0121895220880595	1
0.0326807655318414	0.0165906411895319	0	0	ITPRID1	0.0123178516803433	1
0.0493610065083678	0	0	0	HTR3B	0.0123402516270919	1
0.0245935460406458	0.0249702044183172	0	0	FGF23	0.0123909376147407	1
0	0	0	0.0499283416868331	MAGEA8	0.0124820854217083	1
0	0	0.0500046285275807	0	AADACL3	0.0125011571318952	1
0	0	0.0501905193399508	0	OR51B5	0.0125476298349877	1
0	0.0503263309600586	0	0	PADI6	0.0125815827400146	1
0	0.0506011072315751	0	0	KDM4E	0.0126502768078938	1
0	0	0	0.051123602281604	PATE1	0.012780900570401	1
0.0168269795300789	0.0170846903457715	0	0.0172611028123226	CYP4F8	0.0127931931720432	1
0.0512586866721884	0	0	0	FFAR1	0.0128146716680471	1
0.0276670225334848	0	0.0236090866794943	0	IL12RB1	0.0128190273032448	1
0.0255355841717487	0	0	0.0261943828346243	ADIPOQ	0.0129324917515933	1
0.0182111509585814	0	0.0155401124567758	0.0186809848116174	RORC	0.0131080620567436	1
0	0.0527732090750681	0	0	CPN2	0.013193302268767	1
0.028559292333602	0	0.0243704868275213	0	MAGEC1	0.0132324447902808	1
0.0264461465669971	0.0268511781409361	0	0	GPR65	0.0133243311769833	1
0	0	0	0.0539084574988925	OLAH	0.0134771143747231	1
0.0541349724662939	0	0	0	CEACAM20	0.0135337431165735	1
0.0541349724662939	0	0	0	TXNDC8	0.0135337431165735	1
0.0269506835444279	0.0273634422708109	0	0	PASD1	0.0135785314538097	1
0	0	0	0.0544388627157867	SLC7A13	0.0136097156789467	1
0	0	0	0.054560868235096	CYLC2	0.013640217058774	1
0.0546083109278031	0	0	0	MS4A7	0.0136520777319508	1
0	0	0.054764398468551	0	PSMB11	0.0136910996171378	1
0.0272040026699028	0.0276206410633609	0	0	G6PC	0.0137061609333159	1
0	0.0549640676634947	0	0	FRG2B	0.0137410169158737	1
0	0.0553682152198439	0	0	FRG2	0.013842053804961	1
0	0	0	0.055633133927102	MAGEB4	0.0139082834817755	1
