RNA18_MN_Hyb2_total	RNA30_MN_Hyb1_total	RNA31_MN_Hyb2_total	RNA32_MN_Hyb1_total	gene	mean	bins
0	0	0	0.0373608217496579	ACSM2B	0.00934020543741448	1
0	0.0380491952673781	0	0	LMNTD1	0.00951229881684452	1
0.0166558205187404	0.0214293827508731	0	0	RNF17	0.00952130081740337	1
0	0.038085363703944	0	0	KLF17	0.009521340925986	1
0	0	0.038111768486547	0	SOX17	0.00952794212163675	1
0.0381472018332441	0	0	0	OMD	0.00953680045831102	1
0	0	0.0382907733769621	0	SIGLEC12	0.00957269334424053	1
0	0.0383160369300756	0	0	DCANP1	0.0095790092325189	1
0	0	0.0386205819331805	0	KRT3	0.00965514548329512	1
0.0386522537400144	0	0	0	TSPAN8	0.0096630634350036	1
0	0	0.0386622079106899	0	KLK3	0.00966555197767248	1
0	0	0.0388044098869949	0	GPR141	0.00970110247174872	1
0.0390562279638857	0	0	0	LRIT1	0.00976405699097142	1
0	0.0390758803152299	0	0	UGT2A3	0.00976897007880747	1
0.0199450250404814	0	0.019145386688481	0	GCSAML	0.0097726029322406	1
0	0	0.0391773662074466	0	KCNK13	0.00979434155186165	1
0	0	0.0395575612037253	0	KIF2B	0.00988939030093132	1
0.0268571215436581	0	0.0128901812920577	0	POU2AF1	0.00993682570892895	1
0.0397711780713558	0	0	0	LIPF	0.00994279451783895	1
0	0.0398004661753799	0	0	SH2D1A	0.00995011654384497	1
0.0400782914155361	0	0	0	MB	0.010019572853884	1
0.0402769981847875	0	0	0	BEND2	0.0100692495461969	1
0	0.0406392678405209	0	0	MYOCD	0.0101598169601302	1
0.0408315110531533	0	0	0	CGA	0.0102078777632883	1
0.0410287647297386	0	0	0	PGLYRP4	0.0102571911824346	1
0	0	0.0412877491937593	0	CD300LF	0.0103219372984398	1
0.0180701155299061	0.0232490150579589	0	0	CAPN8	0.0103297826469663	1
0	0.0416773258840663	0	0	FCGR3A	0.0104193314710166	1
0.0109999408088561	0	0	0.0308502817532499	OR56A1	0.0104625556405265	1
0	0	0.0423204300372087	0	KLK2	0.0105801075093022	1
0.0424647714952794	0	0	0	ADGRF5	0.0106161928738198	1
0	0	0.0426728485600025	0	SLC15A1	0.0106682121400006	1
0	0.0426989015451678	0	0	IL22RA1	0.0106747253862919	1
0	0.0427292598114637	0	0	FCGR3B	0.0106823149528659	1
0.0218073056231594	0	0.0209330044931945	0	AQP2	0.0106850775290885	1
0.0428052679448406	0	0	0	KRT80	0.0107013169862102	1
0	0	0.0430105473615565	0	SOAT2	0.0107526368403891	1
0.0430915577904127	0	0	0	LRRC38	0.0107728894476032	1
0.0160611743191315	0.00688810360169899	0.00513908259305703	0.0150149824028855	PKHD1	0.0107758357291933	1
0	0.0439318011146372	0	0	HYAL4	0.0109829502786593	1
0	0.0443532870293901	0	0	NAA11	0.0110883217573475	1
0	0	0.0445821482718594	0	KRT77	0.0111455370679648	1
0.00918428011105139	0.0354494911078394	0	0	FGD2	0.0111584428047227	1
0	0	0.0448384956244226	0	DAND5	0.0112096239061057	1
0.0448930789474362	0	0	0	SULT1E1	0.0112232697368591	1
0.0449362661325708	0	0	0	CD79B	0.0112340665331427	1
0	0	0.0450261043927256	0	CD33	0.0112565260981814	1
0.0197845186975042	0.0254547665924708	0	0	IL20RA	0.0113098213224937	1
0	0.0453062223330747	0	0	PON1	0.0113265555832687	1
0.0453287226053444	0	0	0	CCK	0.0113321806513361	1
0.0140358319245214	0.0180585047851033	0.013473105656377	0	FCGR2B	0.0113918605915004	1
0	0	0.0456139324765235	0	PRSS21	0.0114034831191309	1
0	0	0	0.0457741863959384	NRAP	0.0114435465989846	1
0	0.0262267963887513	0.01956731207699	0	SLC36A3	0.0114485271164353	1
0.0458402832628139	0	0	0	IFI44	0.0114600708157035	1
0.0309961835731967	0	0.0148767404195165	0	KCNMB1	0.0114682309981783	1
0	0.0460526466856886	0	0	FAM177B	0.0115131616714221	1
