RNA17_CM_Hyb1_total	RNA19_CM_Hyb2_total	RNA3_CM_Hyb1_total	RNA4_CM_Hyb2_total	gene	mean	bins
0	0	0.0267970322651255	0	MUC21	0.00669925806628137	1
0	0	0	0.0278765242636683	SLC10A2	0.00696913106591707	1
0	0	0.0280509913080973	0	SERPINB11	0.00701274782702432	1
0.0280991006638035	0	0	0	LMX1A	0.00702477516595088	1
0	0	0.0285766092218341	0	DAZL	0.00714415230545852	1
0	0.0288452922902178	0	0	OR2C3	0.00721132307255445	1
0	0	0.0299205178494044	0	RBMXL3	0.0074801294623511	1
0	0	0	0.0304487630529145	GOLGA6L2	0.00761219076322862	1
0	0	0.0306183982480177	0	OR51I2	0.00765459956200443	1
0	0.0310454185932412	0	0	KCNU1	0.0077613546483103	1
0	0	0	0.0310459961048168	FSCB	0.0077614990262042	1
0	0	0	0.0311184126235551	OTOP2	0.00777960315588878	1
0.031563373348382	0	0	0	MC2R	0.0078908433370955	1
0	0	0	0.0319706800011259	SLC15A5	0.00799267000028147	1
0	0	0	0.0320145204947853	CNGA2	0.00800363012369633	1
0	0	0.0320867929659764	0	LILRA1	0.0080216982414941	1
0	0.0321394231638723	0	0	MROH9	0.00803485579096807	1
0	0.0337054832030645	0	0	OR10D3	0.00842637080076612	1
0	0	0	0.0337988984014799	P2RY13	0.00844972460036997	1
0	0.0339097026000536	0	0	ITPRID1	0.0084774256500134	1
0.0339135466020278	0	0	0	RDH16	0.00847838665050695	1
0	0.0341637431023292	0	0	PTCHD3	0.0085409357755823	1
0.0182412975746703	0	0.0160981861015268	0	PLA2G2F	0.00858487091904928	1
0	0	0.0344533271980185	0	ADAM30	0.00861333179950463	1
0	0	0.034499173275461	0	KRT74	0.00862479331886525	1
0	0.0128873906364658	0.0217091301791995	0	GLRA3	0.00864913020391632	1
0.0185552564307636	0	0.0163752589398446	0	LILRB4	0.00873262884265205	1
0	0.0190214939194801	0.0160210898912461	0	KCNC2	0.00876064595268155	1
0	0	0	0.035147292541697	PLA2G2D	0.00878682313542425	1
0.0352249517314227	0	0	0	RXFP2	0.00880623793285567	1
0	0	0.0355152448171355	0	GMCL2	0.00887881120428387	1
0	0	0.035527411738964	0	CCL22	0.008881852934741	1
0	0	0.0364643160569746	0	SLCO1B7	0.00911607901424365	1
0	0.0369083123923245	0	0	TMPRSS12	0.00922707809808112	1
0	0	0	0.0371169937532944	TRIM42	0.0092792484383236	1
0.0371398353274419	0	0	0	NKX2-1	0.00928495883186048	1
0.0139527949389725	0	0.0123135258686815	0.0110883823656244	OR5AU1	0.0093386757933196	1
0.0375552697270777	0	0	0	GAGE1	0.00938881743176942	1
0.0108715365876609	0	0.00959427466611489	0.0172793702069181	CR1	0.00943629536517347	1
0	0	0.0383806494692953	0	GPR15	0.00959516236732382	1
0.0387184312935836	0	0	0	ADGRE1	0.0096796078233959	1
0	0	0	0.0387817094199704	GJA10	0.0096954273549926	1
0.00818888076487987	0.0171604362565567	0.00722679546104779	0.00650776001974138	ST18	0.00977096812555643	1
0	0	0.0392522766336245	0	CD3E	0.00981306915840613	1
0.0396058102379596	0	0	0	MUC22	0.0099014525594899	1
0	0	0.0211598683668712	0.0190545513738602	OR1D2	0.0100536049351828	1
0.0407456445825334	0	0	0	FCGR3A	0.0101864111456334	1
0.0115523435878909	0	0.0203901916763735	0.00918072712183335	FGD2	0.0102808155965244	1
0	0	0	0.0412483905844915	ASCL4	0.0103120976461229	1
0.0223403876380278	0	0.0197156872368889	0	CNR2	0.0105140187187292	1
0.022361643953573	0	0.0197344462161819	0	TDRD1	0.0105240225424387	1
0	0.0421809284483709	0	0	FAM217A	0.0105452321120927	1
0	0	0.0425367165160114	0	OR8K3	0.0106341791290029	1
0	0	0.0425716399285861	0	CD5L	0.0106429099821465	1
0	0	0	0.0427593206425315	HEMGN	0.0106898301606329	1
0	0	0.0430130712841293	0	HORMAD1	0.0107532678210323	1
0	0	0	0.0436793060258601	FHL5	0.010919826506465	1
0.0233387167777609	0	0.0205967258919634	0	ARGFX	0.0109838606674311	1
0	0	0.0158909768412559	0.0286197843344434	PAX7	0.0111276902939248	1
0.0446637928453159	0	0	0	CYP4F22	0.011165948211329	1
0.0450231566957955	0	0	0	FAM177B	0.0112557891739489	1
